# S230's separation pass: every candidate position swept over depths 3
# to 12 twice, once on the shipped build and once with
# R01_extra_reduction_gives_check of tools/mutants/S091_capture_see.py
# patched into the working tree and chesso_engine rebuilt. The depth
# columns are `search_fen()` of tests/test_search.cpp, not `go depth N`.
# Regenerate: adocs/data/S230_mine_r01_row.py depths, twice.
# separated_at is the rule DEC-209 clause 4 states: a depth the shipped
# build reports the mate at and the mutant does not.
fen	shipped_depths	r01_depths	separated_at
5rk1/pp3p1p/2p2PpQ/8/n7/P6P/1PP3Pq/5B1K w - - 1 27	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
6k1/1R3p2/7p/2b1B1nP/Q1P1P2K/P4P2/1P6/6q1 b - - 3 39	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
6k1/1R6/6p1/1p6/3n4/1PB4R/1P5K/3r4 w - - 1 43	d11 d12	d11 d12	none
6k1/1p1b3R/p1n1p2Q/3p3p/3P3P/P1B2rK1/1PB2n2/8 w - - 0 33	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
6k1/1p3rP1/2p2PQ1/4p3/3P4/4PRK1/q7/8 w - - 1 42	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
6k1/3R4/P6p/5pp1/3p2P1/3K1P2/8/4b3 w - - 3 48	d12	d12	none
6k1/3r2b1/4p3/2P5/2P5/P5KP/3p1PP1/8 b - - 1 39	d9 d11 d12	d9 d11 d12	none
6k1/4Q3/2P2K2/p7/P3p1P1/8/1q6/8 w - - 9 72	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
6k1/4n1p1/p6p/4P3/PpP1P1P1/1P1q4/3r3P/2R4K b - - 0 43	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
6k1/4rp2/8/p1Q3K1/7P/8/8/8 w - - 7 53	d10 d12	d10 d12	none
6k1/5p1p/2R5/p7/5p2/P5qP/1PP3P1/4r1QK b - - 6 33	d11 d12	d11 d12	none
6k1/5pp1/6np/1PP1p3/1Q2P1P1/3r1q1P/1B1R4/6K1 b - - 0 42	d11 d12	d10 d11 d12	none
6k1/7p/p6Q/4p3/1Pp3r1/5P2/1qB4K/5RR1 w - - 3 35	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
6k1/Q2b1pp1/4qb1p/3p1p2/6P1/5P1P/1r4B1/K1R4R b - - 1 34	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
6k1/p2R1p2/6p1/1p1Q4/8/n3P1P1/5qKP/8 w - - 0 37	d6 d8 d9 d10 d11 d12	d6 d8 d9 d10 d11 d12	none
6k1/p6r/Q1p1q1p1/2P5/P2pN3/3PbKP1/8/4R3 b - - 6 40	d9 d10 d11 d12	d9 d10 d11 d12	none
6k1/p7/5b1p/8/1P2b3/P1Pp1NPK/1B3P1P/4r3 b - - 3 30	none	none	none
6kr/2b1R2p/7p/3p1N2/8/1B4P1/3r1PP1/2R3K1 w - - 1 41	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
6qk/7p/2p2p1B/4R2P/4P1Q1/1p4P1/5P2/6K1 w - - 1 43	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
6r1/2RR2pk/5P1p/p3N3/8/4b1PK/7r/8 w - - 0 41	d9 d10 d11 d12	d9 d10 d11 d12	none
6rk/5rqp/p7/2P1p3/P3Q3/7n/1P4P1/R2R3K b - - 1 32	d9 d10 d11 d12	d9 d10 d11 d12	none
6rr/1p3k2/pPp1p3/2Pp1p1q/P2P1P1b/4PB2/1B4Q1/2R3KR b - - 0 59	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
6rr/1p3k2/pPp1p3/2Pp1p2/P2P1P1b/4Pq2/1B4QR/2R3K1 b - - 1 60	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
7K/4k3/8/8/8/p1p1p2p/P1P1P2P/RBRB3r b - - 0 1	d7 d12	d7 d12	none
7K/6r1/3k4/8/8/p2p1p1p/P2P1P1P/4BRBR b - - 0 1	none	none	none
7K/8/3k4/8/q7/p1p1p3/P1P1P3/RBRB4 b - - 0 1	none	none	none
7K/8/3qk3/8/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
7k/2p3pp/8/p3P3/4PP2/P6b/4qQ1P/2B3K1 b - - 0 40	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
7k/2r5/pp2p2B/3bN2Q/2P2p2/7P/q1P2PP1/4R1K1 w - - 1 35	d11 d12	d11 d12	none
7k/5B2/5b1p/1N6/PPp5/2P3PP/4q3/6K1 b - - 0 40	d11 d12	d11 d12	none
7k/5R2/6K1/3R3p/6r1/8/8/8 w - - 3 86	d9 d10 d11 d12	d9 d10 d11 d12	none
7k/5p1p/p2p1N2/2p2P2/4P3/1r3n1P/3K2R1/6R1 w - - 2 42	none	none	none
7k/5r2/p1p5/8/P3Q1R1/5pPK/7P/8 w - - 3 49	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
7k/pR3K1p/6p1/4bp1r/5P2/1B4P1/8/8 w - - 6 54	none	none	none
7k/pp6/4P1p1/7p/7P/6bK/P1B3P1/4q3 b - - 0 39	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
7q/8/5k2/8/8/3p1p1p/3P1P1P/3KBRBR b - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
7r/1p3p2/4k2p/3n3P/4p1p1/rPbR4/5PPN/1K5R b - - 0 28	d11	d11	none
7r/2N2Qpp/p4p1k/8/1b1R4/5PB1/5P1P/6K1 w - - 0 31	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
7r/p4kp1/1p1Ppn2/4PppB/8/2P1q3/PP3RPr/1R4K1 b - - 1 23	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/1R3k1p/5p2/8/8/2P5/PPrr4/6K1 b - - 3 38	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
8/1k6/3K4/pp6/1P1Q4/r2p4/8/8 w - - 0 79	none	none	none
8/1kp5/1p2P3/3p1p2/3P3P/2P5/r6P/5qQK b - - 1 52	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/1p1r2k1/2p4p/3p3r/1Q1P1Rp1/P3P3/1P2BK2/2R4q b - - 4 39	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/1p3Q1p/4Np2/8/Pbp1P2k/8/K7/5q2 b - - 15 54	d9 d10 d11 d12	d9 d10 d11 d12	none
8/1p3pk1/p4Qp1/2q5/8/P2p1P1b/1Pr1n1PP/3RRK2 b - - 4 37	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
8/1pp2R1P/p5k1/6N1/5P2/7K/3n2P1/7r w - - 1 53	d9 d10 d11 d12	d9 d10 d11 d12	none
8/1q6/8/4k3/8/3p1p1p/3P1P1P/K3BRBR b - - 0 1	none	none	none
8/2N1Pkp1/1p1P3p/2p2p2/5p2/1P3P2/6PP/b4K2 w - - 3 41	d12	none	d12
8/2P3pk/4Bp1p/p1K5/1p6/5P2/7P/8 w - - 0 50	d12	d12	none
8/2Q5/6kp/2pP1bp1/2P2P2/3p3P/5PK1/4q3 b - - 2 38	d9 d10 d11 d12	d9 d10 d11 d12	none
8/2R5/p4pP1/1b1p4/1P4P1/6k1/1r6/6K1 b - - 4 52	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/2k2P2/2b5/p2p4/1p3K2/8/P5Q1/8 w - - 0 52	d10 d11 d12	d10 d11 d12	none
8/2k5/8/8/r7/p2p1p1p/P2P1P1P/K3BRBR b - - 0 1	d6	d6	none
8/2r2qkp/4QNp1/3P4/8/7P/1p4PK/4r3 b - - 1 45	d12	d12	none
8/3Q2pr/p7/8/2Nb3q/7R/P6K/4k3 b - - 1 43	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/3R4/2k5/5Q2/K7/8/8/1r5q w - - 16 83	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
8/3k4/8/7q/8/1p1p1p2/1P1P1P2/1KBRBR2 b - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/3r2k1/8/8/8/p1p1p2p/P1P1P2P/RBRBK3 b - - 0 1	none	none	none
8/4Ppk1/1pQ5/2pp4/p2P1K2/r1P2P1P/8/8 w - - 1 50	d9 d10 d11 d12	d9 d10 d11 d12	none
8/4k3/1r6/8/8/p1p1p2p/P1P1P2P/RBRB2K1 b - - 0 1	d3 d4 d5 d9 d12	d3 d4 d5 d9 d12	none
8/4q3/6K1/8/7k/p1p1p3/P1P1P3/RBRB4 b - - 0 1	d6	d6	none
8/5Qk1/p2p4/2pP2q1/2P5/p4p2/6N1/1r2R1K1 b - - 0 61	d11 d12	d11 d12	none
8/5Qp1/kpp1p1p1/p5P1/P2PR3/7r/1PPbK3/R6q b - - 5 35	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
8/5k2/8/8/4r3/p2p1p1p/P2P1P1P/3KBRBR b - - 0 1	d5 d6 d7	d5 d6 d7	none
8/5k2/p6p/1p2r1P1/1P6/P1P1Bp1b/5P1P/6K1 b - - 0 36	d12	d12	none
8/5p1k/3R2p1/pP6/r1q5/4K3/8/8 b - - 1 57	d9 d10 d11 d12	d9 d10 d11 d12	none
8/6kp/p3P1p1/3pP3/7K/3n1qN1/7P/8 b - - 1 43	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
8/6p1/P1p1pPk1/P2p4/7Q/2P2R2/qr4PK/8 w - - 1 38	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
8/6qk/4Q3/r2B1p2/p6p/P7/3p1P1P/4R2K w - - 0 34	d11 d12	d11 d12	none
8/7K/8/2r4k/8/p2p1p1p/P2P1P1P/4BRBR b - - 0 1	none	none	none
8/7r/1k6/8/8/p2p1p1p/P2P1P1P/1K2BRBR b - - 0 1	d3 d4 d5 d7 d8 d9	d3 d4 d5 d7 d8 d9	none
8/8/1P6/P7/5k2/4p2P/2r5/6K1 b - - 0 60	d9 d10 d12	d9 d10 d12	none
8/8/2R1Q3/5p2/2pp4/3k3P/5KP1/rq6 w - - 1 48	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
8/8/2k3q1/8/8/2p1p1p1/2P1P1P1/1KRBRB2 b - - 0 1	d9 d10 d11 d12	d9 d10 d11 d12	none
8/8/2n5/8/8/p1np1p1p/P2P1P1P/K1k1BRBR b - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/8/2p2p1k/p3p3/4P1Q1/2PR4/1r3KP1/8 w - - 1 45	d7 d8 d9 d10 d12	d7 d8 d9 d10 d12	none
8/8/3n4/8/8/pn1p1p1p/P2P1P1P/1k1KBRBR b - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/8/3p2R1/1p4p1/4PkPP/4n3/2r5/6K1 b - - 0 73	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/8/3q4/8/8/p1p1p3/P1P1P3/RBRBk2K b - - 0 1	d7	d7	none
8/8/5kp1/p1pPP3/2P5/P3b1Pp/7P/3b3K b - - 0 39	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/8/6B1/6PP/4p3/4kr2/2p3K1/8 b - - 1 80	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
8/8/7k/8/8/1p1p1p2/1P1P1P2/q1BRBRK1 b - - 0 1	d6 d7 d8 d9 d10 d11 d12	d6 d7 d8 d9 d10 d11 d12	none
8/8/8/2r3k1/8/p1p1p2p/P1P1P2P/RBRB3K b - - 0 1	d5 d6 d7	d5 d6 d7	none
8/8/8/3r4/6k1/p2p1p1p/P2P1P1P/1K2BRBR b - - 0 1	d3 d4 d5 d7	d3 d4 d5 d7	none
8/8/8/4k3/6q1/p1p1p3/P1P1P3/RBRB1K2 b - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/8/8/5k2/8/2p1p1pq/2P1P1P1/1KRBRB2 b - - 0 1	d9 d10 d11 d12	d9 d10 d11 d12	none
8/8/8/7q/8/2p1p1p1/2P1PkP1/K1RBRB2 b - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/8/K7/5r2/k7/p1p1p2p/P1P1P2P/RBRB4 b - - 0 1	none	none	none
8/Q7/5pkp/1p3P1p/1P6/P3p1P1/3r1q2/R6K b - - 0 44	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
8/R2B4/7p/p1r3kP/P2r1p2/6pK/6P1/8 b - - 1 54	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
8/k1p5/p5p1/n1q5/1R1Q4/7P/5PK1/8 w - - 4 59	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
8/p3Q2p/p3pn1k/4N3/8/1P5P/q5PK/8 w - - 2 35	d9 d10 d11 d12	d9 d10 d11 d12	none
8/pQ3b2/2p2k2/2N1b3/2n5/P5P1/3q2BK/8 b - - 6 44	d9 d10 d11 d12	d9 d10 d11 d12	none
K3k3/1r6/8/8/8/p2p1p1p/P2P1P1P/4BRBR b - - 0 1	none	none	none
K7/8/1r6/8/1k6/p1p1p2p/P1P1P2P/RBRB4 b - - 0 1	none	none	none
Q1brbrk1/1p1p1p2/1P1P1P2/8/8/5K2/8/8 w - - 0 1	d9 d10 d11 d12	d9 d10 d11 d12	none
Q7/5pk1/4N3/1p2P1pp/1P1P3b/7K/5q1P/8 b - - 0 42	d7 d8 d9	d7 d8 d9	none
Qr4kr/5ppB/3b1n2/8/3P4/4Pp1q/PP3P2/R1B2RK1 b - - 0 23	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
R1q2Q2/1p4pk/1p2p1p1/1n1pP2p/3P3P/2P1B1P1/5PK1/4r3 w - - 6 38	d6 d7 d8 d9 d10 d11 d12	d6 d7 d8 d9 d10 d11 d12	none
R2Q1bk1/5q2/4bP1p/2p1P3/3pB3/7P/2P3PK/8 w - - 3 50	d9 d10 d12	d9 d10 d12	none
R6k/1b2p2p/2p3p1/2N1Nn2/5P2/7P/6PK/2rr4 b - - 1 35	d10 d11 d12	d10 d11 d12	none
k1K5/8/8/4q3/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	none	none	none
k2r4/Pq4p1/4p3/Q1ppP2r/3P3p/1R3b1P/5BP1/1R4K1 w - - 1 37	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
k3brbr/3p1p1p/3P1P1P/8/K7/8/8/5Q2 w - - 0 1	none	none	none
k3brbr/p2p1p1p/P2P1P1P/8/4K3/8/8/R7 w - - 0 1	d5 d6	d5 d6	none
k6r/p4ppp/Bpp4q/3Q4/P7/B1P2P2/7P/5R1K w - - 0 26	d10 d12	d10 d12	none
k7/6Q1/2K5/pp6/1P6/2rp4/8/8 w - - 4 81	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
k7/6Q1/3K4/pp6/1P6/r2p4/8/8 w - - 2 80	d7 d9 d10 d11 d12	d7 d9 d10 d11 d12	none
n7/7r/2pP1R1p/3p1B2/5p1k/1p2P2P/6PK/8 w - - 0 50	d5 d9 d10 d11 d12	d5 d9 d10 d11 d12	none
r1b1N1kr/1p2Q2p/6pB/p2p1p2/2q5/5N2/PPP2bPP/R3R1K1 w - - 0 21	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
r1b5/1p3kpp/8/p1PPBpQ1/1n6/6q1/P4RBP/4R1K1 w - - 0 28	d8 d9 d10 d11 d12	d8 d9 d10 d11 d12	none
r1k3r1/pR3p2/Bp6/4q3/7Q/P5P1/1P4KP/8 w - - 4 36	d9 d10 d11 d12	d9 d10 d11 d12	none
r1q1k3/pb1p1pQ1/1p1P2nB/n6p/1P4pP/2N5/P1B2PP1/R5K1 w - - 1 25	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
r2b1R2/pp1N2pk/4p3/1Q1p4/1P6/P7/1q4PP/7K w - - 2 40	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
r2n4/1p2Q3/p1p4p/3P1kp1/2b2P2/P1P3PP/1P3K2/8 w - - 0 35	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
r2r1n1k/2q2p1N/p3pNpQ/2p1P3/PpR5/7P/1P3Bb1/R6K w - - 0 29	d6 d7 d8 d9 d10 d11 d12	d6 d7 d8 d9 d10 d11 d12	none
r2r2k1/2p2pbp/p1P3p1/5Bq1/1P1P4/2P1Nb2/1BQ2P1K/R5n1 b - - 1 27	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
r2r2k1/2p2pbp/p1P3p1/6q1/1P1P1n2/2PBNb1P/1BQ2Pp1/R3R1K1 b - - 2 24	d11 d12	d11 d12	none
r2r2k1/2p2pbp/p1P3p1/6q1/1P1P4/2PBNb1n/1BQ2P1K/R5R1 b - - 0 26	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
r2r2k1/2p2pbp/p1P3p1/6q1/1P1P4/2PBNb1n/1BQ2PpK/R3R3 b - - 1 25	d9 d10 d11 d12	d9 d10 d11 d12	none
r2r3k/1q5p/1pp1pp1Q/3P4/5R2/2P3RP/P4PP1/6K1 w - - 0 28	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
r3bk2/1p4pQ/2p1p2p/2q1P3/2p3P1/8/2B3KP/3RR3 w - - 6 33	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
r3r2k/6pp/R2p4/1P1P1pb1/2P5/4Qp2/5PqP/2R1K3 b - - 3 30	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
r4b1k/5Qp1/p3P2p/3p1N2/3p1B2/7P/q4PP1/5RK1 w - - 3 27	d11	d11 d12	none
r4k2/p1n2Np1/2p1P1Q1/1p1p2p1/1P1N4/P7/2P2RP1/6K1 w - - 1 33	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
r4r2/pp3pk1/2p3pp/4P2N/P1B5/5b1q/1P1Q1P2/R3R1K1 b - - 9 28	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
r4rk1/1b6/1P1p3p/p2Nb3/2P5/P4q2/2BB4/1RQ3K1 b - - 1 27	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
r4rk1/7p/p1Nppp1B/1p6/2p1P1b1/P5Q1/1P3PP1/3R2K1 w - - 2 30	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
r4rk1/p3np2/7B/7Q/6b1/P1K1p3/4B1RP/1R6 w - - 1 27	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
r4rk1/pp3p2/3bn2R/3p1QpN/4p3/P7/2BN2PK/R7 w - - 1 28	d11 d12	d9 d11 d12	none
r4rk1/pq2b3/4p2Q/2n1p2P/1pP5/4B3/PP6/2KR3R w - - 4 28	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
r5k1/2R2p2/4p3/2n1P1NQ/4q3/6P1/5PK1/8 w - - 2 52	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
