# S024 verdict-1 H0 census. Regenerate with:
#   ~/.venv/chess/bin/python adocs/data/S024_census_run.py run <engine>
# One row per adocs/data/S024_census_positions.txt entry, depth 10, Hash 16 MB, ucinewgame between positions.
# writes = calls of history_on_quiet_cutoff(); writes_with_prev = those with prev_move != 0.
# reads = quiet-move score_move() evaluations; reads_with_prev = those where the continuation term is consulted; reads_nonzero = those where it is non-zero.
idx	game_index	ply	fen	nodes	elapsed_s	writes_total	writes_with_prev	reads_total	reads_with_prev	reads_nonzero
99	935	52	r4r2/7k/1p5p/pPpPp3/P2pP3/3P2Pq/3Q4/R4RK1 w - - 0 30	67509	0.008386850357055664	1319	1303	60858	56710	10824
100	249	50	4r2k/1p4p1/2p1r2p/p2bPp1q/5B1P/5P1Q/PPP5/R4RK1 w - - 5 29	475643	0.06253743171691895	5434	5259	323581	311866	103102
101	875	80	1r2r1k1/R1R2p2/2p3pp/2Pbp3/p7/P1B4P/2P2PP1/6K1 w - - 4 44	89620	0.012473583221435547	1376	1328	72068	67764	14550
102	88	38	2r2rk1/3nqp1p/p3bnp1/Npp5/3Pp2N/P3P2P/1P1QBPP1/R4RK1 w - - 6 23	1081551	0.13466143608093262	3864	3669	631812	604829	177445
103	297	31	4rr1k/pQp3pp/8/q3B2n/4PPb1/3P4/P4PBP/2R2RK1 b - - 0 19	446622	0.05855727195739746	1479	1435	262021	247698	35719
104	437	52	3R4/p1p2pkp/5Np1/4Pb2/6P1/P7/nrr2PKP/4R3 w - - 3 30	107378	0.01435232162475586	1517	1436	83087	73778	18092
105	854	43	r5k1/p6p/2p3p1/6p1/4p3/P6P/1P3PPK/7R b - - 1 25	111137	0.012730836868286133	3228	3100	105882	102053	30648
106	277	42	5rk1/p3ppb1/1q5p/2r1Pn2/2p2p2/N1Q1B1P1/PP5P/3RR1K1 w - - 0 25	191447	0.025467634201049805	632	624	103426	95306	9698
107	987	36	4kbnN/p2b2pp/1r3n2/2q5/3p4/P5QP/3NpPP1/R1B1R1K1 w - - 0 22	243161	0.03336501121520996	1999	1977	164700	159480	38468
108	710	81	8/5pp1/5k1p/7P/4BKP1/1r6/5P2/8 b - - 6 44	25566	0.003646373748779297	1265	1250	27454	25906	4777
109	421	93	8/5p2/4k2p/1P6/2r3P1/4B1K1/6P1/8 b - - 1 50	61043	0.007378339767456055	1852	1797	51066	48084	15132
110	819	40	3r2k1/1p3rpp/p2Pb1n1/1p3p2/1Q2p2q/4P2N/P2RBPPP/3R2K1 w - - 4 24	596993	0.0819694995880127	4170	4075	376933	364974	117438
111	770	31	rn2r1k1/pp3p1p/6p1/P2P4/2Pb4/5BPP/1P4K1/R1B4R b - - 1 19	421952	0.0483701229095459	4804	4634	338110	324486	106133
112	928	50	2r1bbk1/BR3p2/p2p2np/3Pp3/2P1P1n1/P1N2N2/4BPP1/6K1 w - - 3 29	130529	0.015685081481933594	1077	1048	90254	84194	10255
113	736	31	r2q1rk1/1Bb2ppp/1p2p2n/4P3/pPpP2P1/P6P/3NQ3/R1B2RK1 b - - 0 19	102793	0.013885498046875	389	388	53852	49382	3987
114	525	78	8/p3p3/P2pk1p1/R4p2/2PP4/3KP1P1/1r6/8 w - - 0 43	67051	0.008605480194091797	1722	1659	48225	46423	10338
115	912	22	r2q1rk1/2p1ppb1/2pp1np1/N4b2/2PP4/P3P1Pp/P2BNP1P/1R1Q1RK1 w - - 1 15	359699	0.04868054389953613	3122	3063	237998	229783	64498
116	773	31	3r1rk1/1pp1qpb1/p3bnpp/4N3/2N5/1P2P2P/PB2QPP1/3R1RK1 b - - 5 19	721501	0.11129570007324219	4441	4379	378751	369178	107732
117	827	183	8/8/4k1p1/6B1/4P1KP/5P2/8/4r3 b - - 12 95	50530	0.007035255432128906	3717	3672	66650	65027	24894
118	936	42	5rk1/pp3ppp/8/2p1n3/4PN1P/8/Pr4BK/R6R w - - 0 25	92992	0.011002779006958008	1648	1631	83341	79912	17435
119	642	59	1r3rkb/2qbnn1p/p5pP/N1p1ppP1/PpNpPP2/3P2Q1/1PPB2BK/R6R b - - 13 33	851611	0.12023401260375977	1781	1587	383707	363234	48310
120	539	53	4R1k1/5ppp/p2Rr3/8/5P1n/2B4P/5P2/5K2 b - - 0 30	66433	0.008624076843261719	2334	2312	76563	75673	20859
121	903	64	6k1/6p1/5p2/3R4/2rB4/5K2/5P1b/8 w - - 0 36	184737	0.023543357849121094	6561	6389	212205	206196	63926
122	850	69	3R4/1p2r1p1/p1r2pkp/2Np1n2/3P4/P3P2P/1P3PP1/3R2K1 b - - 1 38	166475	0.02121257781982422	2046	1978	122817	117964	21897
123	887	88	1b4k1/6p1/7p/r2P4/5p2/2P4P/6P1/1R4K1 w - - 0 48	36418	0.004636049270629883	1146	1136	34676	32577	6287
124	768	126	2r3k1/3R4/6p1/p5P1/P4PK1/8/1rp5/2R5 w - - 35 67	129271	0.01600170135498047	4072	4008	103010	99124	28385
125	110	112	8/1p3k2/2b5/P4p2/1B1R2p1/1r3PK1/6P1/8 w - - 2 60	66737	0.008264780044555664	658	613	43182	38915	2037
126	812	41	3r2k1/5ppp/pn2r3/Bp2P3/2pP1P2/P3K3/P5PP/2RR4 b - - 3 24	235245	0.029102325439453125	3838	3692	188793	182109	49380
127	709	32	r4rk1/2q2pp1/b3pn1p/ppb5/B7/2P2NP1/PP3P1P/R1BRQ1K1 w - - 0 20	236638	0.032218217849731445	1327	1254	157388	145307	24665
128	688	97	8/5pk1/5pb1/2q2B2/5QP1/8/3K4/8 b - - 0 52	249169	0.0324399471282959	9076	8961	263411	257501	124563
129	388	66	1r3k1r/q2bb2p/p3np2/4pN2/1P1pP3/P2P4/2Q1BPPP/1R2R1K1 w - - 1 37	673799	0.08826518058776855	7594	7284	555868	534750	157118
130	381	33	3rr1k1/1b2qppp/p1p5/PP1pP3/4n3/1P2P2P/1Q1NBPP1/R3R1K1 b - - 0 20	181968	0.022413253784179688	1403	1384	134160	126162	19972
131	677	46	4r1k1/pp3p2/6pB/1b1R2bn/4P3/5Q1P/q1r2PB1/4R1K1 w - - 0 27	144455	0.020284175872802734	774	760	95006	86794	10966
132	327	36	3r2k1/1pq2pp1/p1r4p/7n/P1PpP3/1P3P1P/3Q2P1/R1BR2K1 w - - 0 22	498050	0.0632476806640625	7018	6810	464913	454632	115121
133	971	85	3r4/1p1rnk2/p7/P1P1pp2/7R/4B2P/5PPK/2R5 b - - 1 46	83231	0.01033163070678711	1555	1538	74198	69899	11815
134	399	83	rr4k1/2bq1bp1/2p1p2p/p1Pp1p1P/3P1P2/1PB1P1P1/R1Q1BK2/1R6 b - - 18 45	313775	0.04145002365112305	4016	3839	283819	270658	50781
135	513	74	3r4/r4bkp/2Pb2p1/pp1P4/1N2p3/P1R5/4BP1P/2R3K1 w - - 0 41	229636	0.02613544464111328	845	715	148889	132094	16221
136	512	79	6k1/5p2/2PBpbpp/1N6/8/1r4PP/R3KP2/6r1 b - - 0 43	239766	0.030286788940429688	7558	7469	190150	181426	46753
137	557	55	4r2k/6pp/r3q3/PQ1p4/1B2n3/P3PN2/6PP/4R1K1 b - - 17 31	280710	0.037171363830566406	4236	4135	272980	263208	86766
138	450	51	3r2k1/5p1p/p2P4/6p1/P1p2p2/5P2/1P3PKP/3R4 b - - 1 29	58405	0.007199525833129883	2245	2201	57024	54954	13865
139	670	30	r1b1r1k1/ppq1b1p1/2p4p/2n2p2/P1P1p3/2N2N2/RP2BPPP/2QR2K1 w - - 0 19	203547	0.026900529861450195	1920	1813	164587	149648	20499
140	792	40	4r3/1bpk1ppR/p2p4/1p1P4/3b2P1/P1N5/1PPB1P2/2K5 w - - 1 24	166414	0.02051258087158203	1598	1496	116420	109696	18676
141	356	65	5rk1/1p6/5n2/pPb2NBp/P1p3P1/2P4K/5p1P/3R4 b - - 0 36	147917	0.019206523895263672	2135	2102	77513	72762	13178
142	800	60	3q2k1/R1r2ppp/1n6/3p1N2/3Pp3/2p1P2P/2P2PP1/Q5K1 w - - 8 34	105329	0.01268148422241211	1261	1228	76857	71633	12334
143	428	31	rn2r1k1/2pqbppB/pp2p2p/4P2n/1P1P4/P4NP1/1BQ2P1P/R4RK1 b - - 2 19	149688	0.020331859588623047	2579	2543	135510	133126	37314
144	747	40	r2q2k1/1p4pp/2b5/2Pp4/p2Pnr2/P3P3/1BQ1B1PP/R5K1 w - - 0 24	114856	0.014357566833496094	1489	1469	103175	99023	18255
145	60	55	3r2k1/p4pp1/5b1q/3Br2P/1PP5/1P6/K1Q5/3RR3 b - - 4 31	281851	0.03771686553955078	4181	4119	258743	251453	78436
146	788	41	6k1/2b2ppp/p1p5/2P5/q1BP3P/2P5/Prb2PP1/4BQKR b - - 0 24	307781	0.038443565368652344	2964	2825	216138	206580	31114
147	257	40	r3r1k1/1p3ppp/p1p2n2/5R2/8/1QP1q1P1/2P3BP/1R4K1 w - - 6 24	184411	0.024977922439575195	1700	1678	141854	139748	31619
148	21	17	r4rk1/pp2ppbp/2n2np1/2q2b2/3N4/4PN2/PPPBBPPP/R2Q1RK1 b - - 3 12	450448	0.05855751037597656	5395	5307	376185	361031	110752
149	884	65	6k1/5pp1/8/p2R4/P7/3P1K2/1r4PP/8 b - - 7 36	101971	0.012111425399780273	3496	3453	97680	95156	21678
150	245	75	8/2p1Bpk1/4n3/1p1p3P/3n2P1/8/3KBP2/8 b - - 0 41	131932	0.01595759391784668	3084	2987	105278	100427	26105
151	740	34	r6r/4kpp1/1pp5/4nb2/6n1/PPN3PN/2P3BP/R4K1R w - - 0 21	299646	0.037724971771240234	2722	2633	199044	191090	47606
152	754	36	3r2k1/pR1n1pbp/2p3p1/3q3P/3pR3/3B3Q/5PP1/6K1 w - - 0 22	524021	0.06485342979431152	2747	2685	331792	321587	64548
153	712	56	8/5kp1/1pR2p2/p2r3p/P2p3P/3Rb1P1/1P4K1/8 w - - 1 32	155560	0.018785953521728516	3559	3512	124460	120237	25945
154	769	30	r2r2k1/1bp2p1p/2n1p1p1/p3q3/1p6/2PBB3/PPQ3PP/4RRK1 w - - 2 19	990047	0.13302063941955566	5347	5232	559657	542333	152053
155	725	61	rn4k1/3r4/6p1/p1p2p1p/P6P/2P2NP1/8/R2R2K1 b - - 0 34	135721	0.01650071144104004	3098	2982	132868	127199	38426
156	585	60	1r6/5p1k/1n2p2p/1p1pP3/p1r1bP2/R1P1B2B/1P1RPK1P/8 w - - 4 34	511008	0.06358146667480469	7920	7721	424333	409980	117860
157	730	32	4r3/1p1bppk1/p2q2pp/2p1p3/2PnPP2/P1NP4/1P1Q2P1/4RRK1 w - - 0 20	316734	0.04096841812133789	2572	2519	221867	214572	53444
158	1	29	r1b2rk1/2p1qppp/p1p1p3/8/4Q3/P1PB3P/1P3PP1/R3R1K1 b - - 0 18	247586	0.030808687210083008	3768	3702	214614	210256	50324
159	864	35	2rq1rk1/1Q2p1bp/6p1/p2p2N1/3Pp3/P3P1P1/2P2PBP/5RK1 b - - 0 21	365054	0.047301530838012695	1885	1819	215499	203296	39640
160	153	58	4r3/7R/1p2pk2/p2p4/3p1KP1/P1P5/1P6/8 w - - 0 33	50400	0.006693124771118164	1599	1575	40067	37911	9861
161	184	145	8/1Pk5/3b4/3B1p2/3P3p/2K4P/8/8 b - - 33 76	46984	0.00589299201965332	2440	2388	41599	39911	11160
162	384	47	2b3k1/5pp1/p2np2p/Pp1pN3/3PN3/1P2P3/4BPPP/6K1 b - - 0 27	92490	0.011431217193603516	2729	2686	81583	79367	24836
163	655	62	4br1k/2p1n3/P6p/3p4/4p2N/2q1P1P1/4QPB1/3R2K1 w - - 0 35	378747	0.047537803649902344	5536	5429	267424	259147	67539
164	414	29	r2qbrk1/1p3ppp/4pn2/n1bpN3/1P3P2/P2BP3/4Q1PP/1RB2RK1 b - - 0 18	559937	0.07574272155761719	4993	4851	422133	409229	99084
165	644	38	1rr3k1/7p/p3bnpb/3p1p2/B2P1P2/P4N2/1Pn1N1PP/R1B2RK1 w - - 1 23	100835	0.012821674346923828	613	571	64035	58911	9094
166	976	25	r1b2rk1/pp2p1b1/1q1p2p1/2pPn2p/2P3nP/6NN/PPQBBPP1/R4RK1 b - - 2 16	724802	0.10445165634155273	1958	1879	337067	325134	44966
167	923	34	r4rk1/pp3pb1/1q2b2p/3pN3/3P1Q2/P1NB4/1P4PP/5RK1 w - - 3 21	760188	0.0963752269744873	3203	2967	454321	427710	98267
168	470	64	r5r1/4k3/4p3/4N2p/P1PB2p1/2K2b2/1P3P2/2R5 w - - 3 36	408991	0.05174088478088379	10943	10799	421670	413036	149270
169	847	48	2r5/5k1p/1r1p1bp1/p1pPpp2/Pp6/1P1P1P1P/2PB1PK1/R1R5 w - - 1 28	170918	0.020798206329345703	4820	4738	191706	186133	48715
170	524	72	8/8/R3nkp1/7p/1r2K2P/4B1P1/8/8 w - - 4 40	83523	0.011162281036376953	2947	2900	92207	90319	21616
171	685	21	r3k2r/2pqbpp1/bpn1p3/p2p4/3PPB1P/2P1QN1P/P1P2PB1/2KR3R b kq - 3 14	655536	0.08806705474853516	4546	4418	394163	374887	77280
172	389	49	8/1p3k2/2p1b1p1/2B4p/P3P3/5KPP/1bP5/5B2 b - - 1 28	122907	0.014808416366577148	2780	2703	123209	118653	27194
173	52	30	r1r2nk1/4bppp/p3p3/q3P3/Np1p1BP1/1Q1B1P2/PP3P2/R3R1K1 w - - 3 19	406361	0.0504918098449707	2301	2198	264113	251931	52453
174	394	115	5B2/R7/2r5/3b3p/p7/6PK/4k3/8 b - - 9 61	276773	0.033100128173828125	7592	7436	275626	264994	107627
175	598	16	r1b1r1k1/1pp1qppp/p1nbpn2/3pN3/P2P4/1P2P2P/1BPNBPP1/R2Q1RK1 w - - 6 12	384812	0.05091571807861328	3346	3268	262382	251065	58666
176	871	27	1k1r3r/2pqb1p1/p1n1p1p1/1pNn1p2/1P1P4/PB2P3/1B3PPP/R2Q1RK1 b - - 1 17	220189	0.031119346618652344	2011	1972	146248	139755	28150
177	426	40	1r3r2/3qb1pk/p2p3p/4p3/1pQpPP2/P2P2PP/1B5R/5RK1 w - - 0 24	275967	0.03648686408996582	753	737	134210	125121	18322
178	998	147	R7/P5k1/r7/1K6/8/8/8/8 b - - 10 77	22116	0.002939939498901367	1688	1673	22429	21222	4878
179	671	29	r3r1k1/pp3ppp/2pb4/2n1q3/P1PNp3/2P1B1Pb/4BP2/R2QR2K b - - 1 18	540510	0.06958484649658203	6228	6048	476621	459910	111731
180	999	125	8/3k4/8/6R1/P4Npp/8/5K2/1r6 b - - 3 66	147564	0.017792701721191406	5160	5059	148119	141500	47289
181	438	50	4Nk2/2R1np1p/1p4p1/4rb2/2B5/6P1/5PKP/8 w - - 4 29	125670	0.015886783599853516	1619	1556	90860	85623	14491
182	457	65	1r3bk1/6pp/4r3/5R2/3B4/P3P2P/5P2/5RK1 b - - 2 36	195581	0.0263521671295166	4290	4230	200008	193705	60644
183	108	43	r1b1k2r/pp2p1b1/2p5/2Pp2p1/6p1/4P1N1/5P1B/1R1K1B1R b kq - 1 25	282957	0.03622555732727051	5410	5281	275529	267532	80329
184	227	59	3r2k1/1pq2ppp/4p3/r2n4/p1PB1P2/P5PP/1P3Q2/3RR1K1 b - - 0 33	145873	0.016989946365356445	645	621	99973	86851	8810
185	9	62	8/p4k1p/6p1/1Q2nqB1/8/8/P4r2/3K1R2 w - - 2 35	52849	0.0070950984954833984	986	984	36068	33086	6118
186	234	23	r4rk1/1p1qbp1p/5np1/p1np4/8/PP2P2P/1B1N1P1P/2RQKBR1 b - - 3 15	480524	0.06726431846618652	3447	3365	314990	304356	73965
187	317	45	3r1Bk1/p2b2b1/6n1/3N2p1/P4Pp1/4P3/1P4P1/2KR3R b - - 0 26	184146	0.023011445999145508	1801	1769	114540	109604	14937
188	132	31	r1b2rk1/1n2bppp/1q2p3/p1p1P3/3p1P2/1N1P2P1/PP3QBP/R1B2RK1 b - - 2 19	573069	0.08164310455322266	9294	9037	517513	504276	142382
189	355	77	1r4k1/8/R6p/2p1Npp1/4nP2/1P4P1/7P/6K1 b - - 0 42	81764	0.010011911392211914	1622	1607	61466	58075	12894
190	614	76	8/2p4p/4k3/p1p3r1/P1R3P1/1PP5/4K3/8 w - - 1 42	151743	0.019571304321289062	5765	5660	134583	131599	53477
191	266	42	r2q1rk1/1pp2p2/4p1pQ/p7/Pn1bb3/6P1/1P3PBP/R1BR2K1 w - - 0 25	147084	0.01735377311706543	491	479	94713	90485	7165
192	892	53	3b2k1/5pp1/3pb2p/1P2p3/2P5/4B2P/3NrPP1/3R2K1 b - - 3 30	248737	0.02944207191467285	1841	1729	151392	144299	18481
193	269	36	1rb2rk1/1pq2pb1/p3p2p/6p1/NPp5/P1P3P1/3Q1PBP/3R1RK1 w - - 2 22	441084	0.05526924133300781	5235	5052	356083	344175	92198
194	635	60	6k1/R4pp1/1p3n1p/1Pnq4/2Q5/3p1N1P/5PP1/6K1 w - - 3 34	199545	0.02484607696533203	4398	4318	179136	171950	48133
195	632	101	6k1/3B4/4P3/4K3/3p4/8/8/5r2 b - - 2 54	57412	0.007091522216796875	3444	3352	57157	53198	13456
196	979	24	r4rk1/pp3pp1/1qnb1n1p/1N6/3PPpb1/P2Q2P1/1P4BP/R1B2RK1 w - - 0 16	246713	0.03263044357299805	745	731	135021	127145	13455
197	20	64	3r4/2R2pk1/1n4p1/N1p1p2p/3pP3/3P2P1/5PKP/8 w - - 8 36	97868	0.011920452117919922	2390	2334	89855	86585	19376
198	988	34	r1br2k1/1p2ppbp/p1n3p1/2P5/1P6/1q1B1NP1/P1N2P1P/3R1RK1 w - - 0 21	90674	0.01091146469116211	563	560	59471	55883	6601
199	214	61	6k1/2p2pbp/ppNp2p1/3P2P1/1PbPP2P/B1n2B2/5K2/8 b - - 2 34	240438	0.02919626235961914	2309	2223	144991	136986	21648
200	112	28	2r2rk1/p1q2ppp/1p2p3/n2p4/N1bPnP2/2P1PNP1/6BP/2RQR1K1 w - - 3 18	289305	0.03538799285888672	1888	1765	196486	189202	34737
201	441	54	6kr/ppn2pb1/4p3/1q6/2Np1P2/P2P1Q2/3B1KP1/4R3 w - - 6 31	609252	0.08043456077575684	9055	8874	527490	515395	185837
202	727	54	4r1k1/1bq2pb1/p4r1p/2p1p1p1/1nPpP1P1/1P1P1NPB/1B2QP2/R2R2K1 w - - 10 31	294545	0.03708934783935547	3435	3361	231398	220019	43798
203	460	49	8/ppk1bp1p/4p3/2p2n1N/5P2/2P4P/PP4RK/8 b - - 2 28	363547	0.04367780685424805	12891	12581	429261	418196	163469
204	855	30	r1br2k1/1pb1qp2/2p1pn1p/p1P1N1p1/1P1Pp3/P3P1BP/2Q1BPP1/R4RK1 w - - 0 19	833994	0.11271524429321289	3000	2874	415428	395489	76127
205	207	64	1R6/4b1k1/4pp2/1p1p2p1/1r1P2p1/3R4/r2NKP1B/8 w - - 0 36	190642	0.02481675148010254	3620	3524	163580	156044	53753
206	876	40	2b2rk1/4nppp/2qNp3/4P3/1ppBP3/5Q2/5PPP/5RK1 w - - 1 24	835869	0.11016964912414551	13882	13624	708489	693710	272490
207	913	43	r5kr/1p2qpp1/2p2n2/p1Pp4/5N1p/PPQ1P3/5PPP/2RR2K1 b - - 7 25	360122	0.04625844955444336	4452	4368	280446	271871	75926
208	374	48	6k1/rrp2pp1/2p1p3/Q1PpP3/3P2Pq/P3R1N1/4bPP1/4R1K1 w - - 6 28	117695	0.014484643936157227	1662	1588	111089	106752	21185
209	631	50	5r1k/6pp/bp2q3/p2p1p2/P1pPn3/1B2QNPP/1P4P1/4R1K1 w - - 0 29	141864	0.018169164657592773	1481	1428	106756	102118	21125
210	412	64	5r2/8/p1rpb1k1/2p1p1pp/2P1N3/Pp1PRPPP/1P4K1/7R w - - 4 36	141466	0.017790794372558594	2031	2009	103386	99411	17760
211	966	49	2br2k1/5ppp/1p3n2/3Pp3/4P3/P2PPB2/1P4PP/5RK1 b - - 1 28	150679	0.01773548126220703	2417	2333	118446	112599	29037
212	767	52	6k1/1p2rppp/2pp4/r3q3/2P1Pp2/P2P4/4QPPP/1R3RK1 w - - 2 30	252421	0.03285050392150879	2293	2206	173130	166116	35828
213	29	91	8/1p6/2p1p2p/2rbk1p1/N5PP/P5K1/1P3R2/8 b - - 0 49	99214	0.012926101684570312	2138	2084	74713	71873	18314
214	425	72	8/2N2kp1/p3Rp1p/Pp1r4/1Pb4P/6P1/6P1/6K1 w - - 0 40	72246	0.00897669792175293	2084	2046	59732	57226	12280
215	37	88	6k1/1br1q1b1/6Qp/3pPB2/1p3P2/P6P/5KP1/3R4 w - - 2 48	935149	0.11646223068237305	10103	9801	658634	620782	193782
216	416	47	1rr3k1/5ppp/3bp3/1P1p1q2/3Pn3/P4NP1/1B2QP1P/2R1R1K1 b - - 0 27	804650	0.10912823677062988	8172	8017	580190	562537	168828
217	649	48	4r1k1/3p1pp1/p4qnp/2p1p3/2P1P3/P1BPR1PP/5P2/1Q4K1 w - - 5 28	310206	0.03855395317077637	6902	6808	331242	322331	102787
218	861	47	3r4/pp4kp/2n5/3pp3/8/2P1R3/PP4PP/5RK1 b - - 1 27	160850	0.018913984298706055	4184	3967	176628	169661	53282
219	748	61	5r2/2p5/1pkp4/p4P1p/P1P4P/4R3/1P4P1/6K1 b - - 0 34	32025	0.004269599914550781	897	874	27588	26266	4321
