# S231 phase-three census: BOTH continuation tables' use on the FITTED build,
# taken so the one-ply shares stand beside S222's 96.62 / 95.15 / 19.15 % and
# S024's 97.56 / 96.19 / 27.14 %, and so the two-ply table's own three shares
# exist at all. A same-tree control at phase one's incumbent vector is beside
# it, so a moved share is attributed to the fit or to the tree rather than
# explained.
#
# WHAT THIS IS. `adocs/data/S024_census_run.py run <engine>` over the same 400
# positions of `adocs/data/S024_census_positions.txt` -- one per game from
# `adocs/data/S219_aa_calibration.pgn`, `random.Random(24)` shuffle, each
# game's own midpoint ply -- at depth 10, Hash 16, `ucinewgame` between
# positions, driven through one persistent UCI process. The script is the one
# S231 phase one extended to eight counters; only the binary under it is new.
#
# THE BINARY. S231's fitted `src/search_params.hpp` -- this project's own SPSA
# lane of 2026-09-19/20, `adocs/data/S231_spsa_trajectory.tsv` -- with the
# eight throwaway counters patched in. Built in a detached worktree at
# `abe251b` with the fitted header copied in; `cmake
# -DCMAKE_BUILD_TYPE=Release`, its own `build/`, the real tree's never
# touched, the worktree removed after the run. The instrumentation is not in
# the shipping engine and never was: an `info string cont_hist_census` line is
# not on the UCI surface `tests/test_uci_surface.cpp` guards. The exact diff is
# at the bottom of this file, so the run reproduces without it ever having been
# in the tree. The script writes `adocs/data/S024_census.tsv`, so it was run
# from the worktree's copy and S024's own artefact in this tree was never
# touched -- what S222 did.
#
# THE CONTROL. The same instrumented binary rebuilt with `abe251b`'s own
# `src/search_params.hpp` -- phase one's incumbent 17/18/26 twice -- and the
# same 400 positions re-run. It separates the vector from the tree, and here
# it says the fit moved almost nothing: the tree is 2.2 % smaller (29450590
# nodes against 30121175) and every share is within four tenths of a point of
# the control's. The one-ply non-zero share is 19.89 % fitted against 20.22 %
# at the incumbent vector, so the fitted vector reads a non-zero one-ply entry
# slightly **less** often, by 0.34 points; the two-ply non-zero share is
# 27.51 % against 27.31 %, 0.20 points the other way. Both runs were repeated
# once and reproduced to the counter.
#
# THE READING. The two-ply table is **not** inert wiring: the move two plies
# back exists at 94.24 % of quiet cutoffs and the term is consulted on 95.72 %
# of quiet `score_move()` evaluations -- within a point and a half of the
# one-ply table's 96.53 % and 95.30 % -- and **27.51 % of those consultations
# read a non-zero entry, against the one-ply table's 19.89 % on the same
# run**. The two-ply table is the one that more often has something to say,
# which is a fact about this tree's shape and not a claim about strength: what
# a table returns is not what it is worth (DEC-019), and
# `adocs/data/S231_sprt.sh` decides the step. The one-ply figures are S222's
# own profile again, a third of a point apart on all three, on a tree 3.4 %
# smaller than S222's 30474552.
#
# WHAT THE THREE NEW DENOMINATORS ARE, since they differ from the one-ply
# three's by more than the guard: `writes_with_prev2` is over
# `writes_total` and `reads_with_prev2` over `reads_total`, so the two-ply
# write share is 2.3 points under the one-ply one -- ply 0, ply 1 and the node
# two plies after a null move pass no two-ply key, where only ply 0 and the
# node after a pass are missing a one-ply one.
#
# SUMMARY, FITTED VECTOR (18/17/24 one-ply, 18/20/24 two-ply), as the script
# printed it:
#
#   positions: 400
#   total nodes: 29450590
#   wall time: 9.7 s
#   writes_total: 1063568  writes_with_prev: 1026634  share: 96.5273%
#   reads_total: 65137855  reads_with_prev: 62074113  share: 95.2965%
#   reads_nonzero: 12343949  of reads_with_prev: 62074113  share: 19.8858%
#   per-position reads_nonzero/reads_with_prev share: min 3.0243%  median 18.1389%  max 40.9168%
#   writes_with_prev2: 1002253  of writes_total: 1063568  share: 94.2350%
#   reads_with_prev2: 62348385  of reads_total: 65137855  share: 95.7176%
#   reads_nonzero2: 17150616  of reads_with_prev2: 62348385  share: 27.5077%
#   per-position reads_nonzero2/reads_with_prev2 share: min 4.9102%  median 25.8215%  max 54.2883%
#   S024-CENSUS-DONE
#
# SUMMARY, INCUMBENT VECTOR, same binary rebuilt with `abe251b`'s own
# `src/search_params.hpp` (17/18/26 twice), same 400 positions, same depth
# and hash:
#
#   positions: 400
#   total nodes: 30121175
#   wall time: 10.0 s
#   writes_total: 1079281  writes_with_prev: 1041783  share: 96.5256%
#   reads_total: 66608262  reads_with_prev: 63516538  share: 95.3583%
#   reads_nonzero: 12845338  of reads_with_prev: 63516538  share: 20.2236%
#   per-position reads_nonzero/reads_with_prev share: min 2.6345%  median 18.2409%  max 41.8208%
#   writes_with_prev2: 1017968  of writes_total: 1079281  share: 94.3191%
#   reads_with_prev2: 63802599  of reads_total: 66608262  share: 95.7878%
#   reads_nonzero2: 17424875  of reads_with_prev2: 63802599  share: 27.3106%
#   per-position reads_nonzero2/reads_with_prev2 share: min 4.7291%  median 25.5310%  max 50.9634%
#   S024-CENSUS-DONE
#
# Rows of the FITTED run, one per position, from the script above.
# S024 verdict-1 H0 census. Regenerate with:
#   ~/.venv/chess/bin/python adocs/data/S024_census_run.py run <engine>
# One row per adocs/data/S024_census_positions.txt entry, depth 10, Hash 16 MB, ucinewgame between positions.
# writes = calls of history_on_quiet_cutoff(); writes_with_prev = those with prev_move != 0; writes_with_prev2 = those with prev_move2 != 0 (S231).
# reads = quiet-move score_move() evaluations; reads_with_prev = those where the one-ply continuation term is consulted; reads_nonzero = those where it is non-zero; reads_with_prev2 and reads_nonzero2 are the same two for the two-ply table (S231), and are 0 when the binary carries S024's five-counter instrumentation.
idx	game_index	ply	fen	nodes	elapsed_s	writes_total	writes_with_prev	reads_total	reads_with_prev	reads_nonzero	writes_with_prev2	reads_with_prev2	reads_nonzero2
1	72	64	3r2k1/5pb1/7p/p4B1P/2r3P1/8/1P1n1B2/1R2R1K1 w - - 3 36	60970	0.018640995025634766	1295	1214	122198	113808	16072	1174	114662	25902
2	496	143	8/8/6k1/4R3/4P1P1/5K2/8/6r1 b - - 32 75	86705	0.019372224807739258	9316	9160	198812	195366	76999	9155	196160	106492
3	271	53	8/5pkp/B1p1p1p1/B1p5/P3P3/6PP/nb3P2/6K1 b - - 0 30	78365	0.019948482513427734	4743	4516	169407	163204	49459	4500	161671	56702
4	715	47	2r4r/1kpnb1p1/p3p2p/Pp1bPp2/3P1P2/3NB2P/1P2BKP1/R4R2 b - - 6 27	82524	0.0252683162689209	4213	4094	237725	226650	49570	3672	221812	66337
5	547	28	r3r1k1/1bq2ppp/1npb1n2/1p2p3/1P1PP3/1QNB1N1P/3B1PP1/R4RK1 w - - 0 18	104746	0.03402590751647949	632	615	192080	179547	10907	610	187189	22137
6	278	76	2b5/2r1k3/p3p1pp/P7/1p1R3P/1P3B2/5KP1/8 w - - 0 42	42994	0.010994911193847656	2048	1986	91762	86537	16971	1784	85663	24350
7	35	64	6k1/b7/2r1p3/1p3p2/6p1/P7/2P1KPP1/3R4 w - - 0 36	10009	0.002439737319946289	410	393	16276	13594	1525	375	15355	2398
8	848	48	6k1/1p1b1pb1/1r1p2p1/3Pp2p/1B1p4/3P1BP1/2P2PKP/1R6 w - - 2 28	62789	0.017323732376098633	2244	2128	127848	121382	24965	2106	122300	36703
9	477	42	r3r1k1/1q1nbpp1/2p1p1p1/p1P3P1/Pp1PQP2/1P4RN/1B5P/4R1K1 w - - 3 25	32139	0.010358572006225586	1779	1728	112732	104951	9510	1535	103882	9516
10	627	53	1rr3k1/R4p2/R1bbp1pp/3p4/1p1P4/3BP1P1/2P2PP1/2N3K1 b - - 5 30	26847	0.008716344833374023	890	807	69667	64278	4729	796	64843	8165
11	494	92	6k1/1R4p1/5pp1/1p3b2/3B1P1P/1r4P1/5K2/8 w - - 2 50	81370	0.020265817642211914	5075	4907	169825	163457	40429	4915	165353	57244
12	308	38	4qrk1/1pp3pp/1b2p3/n3P3/5r2/PQ3N2/1B3PPP/2RR3K w - - 5 23	47777	0.01563549041748047	1351	1262	127433	118668	18227	1286	121654	30104
13	125	67	4r3/5k2/7p/p3Pp2/P1p2K2/2p1P3/2P4P/R7 b - - 1 37	20096	0.004608631134033203	1043	984	32665	30502	5605	977	31056	10274
14	832	26	r5kr/1pq1np1p/2b1p1p1/pp2R3/3P4/P4NP1/2P2PBP/R2Q2K1 w - - 3 17	186009	0.06145739555358887	4770	4526	396343	381548	97081	4431	381196	140414
15	883	46	rr4k1/4n1p1/1pp1pp1p/p2qP1nP/P1NP2PB/5N2/1PQ2PK1/4R3 w - - 2 27	41852	0.013299703598022461	720	695	72726	65200	4893	713	71213	12927
16	895	70	6k1/2R2p1p/b3r3/1p1p4/3P1P1P/4P3/5K2/4B3 w - - 4 39	35045	0.010013818740844727	2298	2225	77813	73726	19122	2108	73189	22327
17	383	33	r3brk1/1q2b1pp/p2p1n2/1ppP1p2/4pP2/PBN4P/1PP1QPP1/R1B1R1K1 b - - 2 20	156787	0.05503439903259277	4463	4344	342405	328901	77059	4234	332272	106694
18	641	67	2rr4/7k/p5pp/2P1R3/1b6/6NP/2R2PP1/6K1 b - - 0 37	90073	0.029495954513549805	5204	5027	248556	240862	68292	4881	237516	93589
19	885	91	8/6pk/8/p3n3/4rR2/P5Pp/7P/6BK b - - 21 49	13838	0.0033240318298339844	839	804	23801	21541	3611	715	20701	6189
20	964	65	4r1k1/1b3pp1/4p2p/qp1p2P1/3P1P2/P3PQ1P/2r3BK/R2R4 b - - 0 36	80822	0.02863597869873047	2591	2490	198522	188561	30068	2424	189336	43345
21	109	85	8/5p2/R7/Pp3kpp/2r4P/4P1K1/6P1/8 b - - 0 46	47255	0.010307550430297852	2995	2922	68360	65190	19444	2896	66864	25378
22	724	47	5r1k/p6p/1pbrn2q/3p1p2/1Bp2P1P/PP3RP1/8/R2Q1BK1 b - - 1 27	77662	0.02446269989013672	1730	1650	135973	127950	14954	1682	132376	22584
23	22	76	8/8/4Rpkp/1pP5/pr6/4BK2/7P/8 w - - 0 42	80965	0.021585941314697266	5201	5035	150879	144972	38538	4863	144406	56195
24	302	32	r4rk1/3b1pb1/p3p2p/q2pPn1P/Np3P2/1P6/PBP1Q1B1/1K1R3R w - - 1 20	69902	0.02638840675354004	1714	1564	179867	168384	18878	1642	172601	28665
25	499	80	5k2/1R3p2/p3rp1p/8/3PK2P/8/P7/8 w - - 5 44	32122	0.0073354244232177734	2059	1995	54311	52704	12677	1980	52644	20006
26	122	149	4k3/8/6p1/3K2Bp/R3P1rP/5b2/8/8 b - - 24 78	70670	0.01825428009033203	4498	4354	131151	127206	37328	4384	127291	54402
27	837	54	2r2rk1/3b3p/1pR3p1/NPbpP3/n2B1p2/8/5PPP/2RB2K1 w - - 1 31	56326	0.018047809600830078	664	647	104329	98080	7917	662	100472	14060
28	763	24	r1bqr1k1/pp3ppp/3b1n2/3p4/1PP1p3/P5P1/1B2NPBP/R2Q1RK1 w - - 0 16	148147	0.04916954040527344	3194	3132	284208	274189	84242	3123	278172	113819
